region_id,lat,lon,add_correction_ERA5,add_correction_NASA,add_correction_OM,bias_ERA5,bias_NASA,bias_OM,mul_factor_ERA5,mul_factor_NASA,mul_factor_OM,r_ERA5,r_NASA,r_OM,rmse_ERA5,rmse_NASA,rmse_OM
R01,35.0035,-5.9155,0.7209,0.161,0.2647,0.7209,0.161,0.2647,1.0394,1.0085,1.0141,0.8925,0.8912,0.8976,2.5701,3.0695,2.4593
R08,32.4356,-6.751,-2.505,-2.4276,,-2.505,-2.4276,,0.8957,0.8986,,0.9129,0.9451,,3.5188,3.294,
R10,32.4357,-6.751,-2.3445,-1.5772,-2.5165,-2.3445,-1.5772,-2.5165,0.885,0.9196,0.8776,0.9328,0.9377,0.9522,3.4497,2.8833,3.3234
R17,34.9311,-2.2695,1.3044,-0.3184,0.5333,1.3044,-0.3184,0.5333,1.0721,0.9839,1.0283,0.9138,0.9368,0.9432,2.718,1.983,1.8384
R18,34.9798,-3.0569,-0.4135,-1.3733,-0.7079,-0.4135,-1.3733,-0.7079,0.9779,0.9301,0.9627,0.9269,0.9411,0.9437,2.209,2.4262,2.0348
R19,32.5938,-8.8178,-0.154,-0.6236,-0.3701,-0.154,-0.6236,-0.3701,0.9919,0.9682,0.9809,0.9031,0.9246,0.931,1.8857,1.7872,1.6241
R20,32.6699,-8.6606,-0.245,-0.6974,-0.4775,-0.245,-0.6974,-0.4775,0.9872,0.9644,0.9754,0.9044,0.9279,0.9339,1.921,1.8023,1.6543
R21,32.9568,-8.2291,-0.0717,-0.5075,,-0.0717,-0.5075,,0.9963,0.9741,,0.9233,0.948,,1.922,1.6251,
R22,32.672,-8.4387,0.0993,-0.2824,-0.2291,0.0993,-0.2824,-0.2291,1.0052,0.9855,0.9882,0.8966,0.9225,0.9303,1.9968,1.7569,1.6831
R23,32.5989,-8.7018,-0.1646,-0.5365,-0.4295,-0.1646,-0.5365,-0.4295,0.9914,0.9726,0.978,0.8975,0.9231,0.9304,1.9502,1.7905,1.6758
R24,34.3044,-6.0235,-0.8154,-1.6386,-1.134,-0.8154,-1.6386,-1.134,0.9572,0.9175,0.9414,0.9056,0.9249,0.9349,2.4037,2.6356,2.284
